learning_rate,train_F1,test_F1
0.399,0.9527910685805423,0.963151207115629
0.4,0.9527910685805423,0.963151207115629
0.401,0.9529580609153245,0.963151207115629
0.402,0.9529580609153245,0.963151207115629
0.403,0.953125,0.963151207115629
0.404,0.953125,0.963151207115629
0.405,0.9529580609153245,0.963151207115629
0.406,0.9529580609153245,0.963151207115629
0.407,0.9529580609153245,0.963151207115629
0.408,0.9529580609153245,0.963151207115629
0.409,0.9529580609153245,0.963151207115629
0.41,0.9528061224489796,0.963151207115629
0.411,0.9528061224489796,0.963151207115629
0.412,0.9528061224489796,0.963151207115629
0.413,0.9528061224489796,0.963151207115629
0.414,0.9528061224489796,0.963151207115629
0.415,0.9528061224489796,0.963151207115629
0.416,0.9533067729083665,0.963151207115629
0.417,0.9533067729083665,0.963151207115629
0.418,0.9533067729083665,0.963151207115629
0.419,0.9536402740162498,0.963151207115629
0.42,0.9536402740162498,0.963151207115629
0.421,0.9536402740162498,0.963151207115629
0.422,0.9536402740162498,0.963151207115629
0.423,0.9536402740162498,0.963151207115629
0.424,0.9536402740162498,0.963151207115629
0.425,0.9538069448869066,0.963151207115629
0.426,0.9539735626692148,0.963151207115629
0.427,0.9539735626692148,0.963151207115629
0.428,0.9539735626692148,0.963151207115629
0.429,0.9539735626692148,0.963151207115629
0.43,0.9539735626692148,0.963151207115629
0.431,0.954140127388535,0.963151207115629
0.432,0.9543066390702117,0.963151207115629
0.433,0.9543066390702117,0.9638095238095238
0.434,0.9543066390702117,0.963151207115629
0.435,0.9543066390702117,0.963151207115629
0.436,0.9543066390702117,0.963151207115629
0.437,0.9543066390702117,0.963151207115629
0.438,0.9543066390702117,0.963151207115629
0.439,0.9544730977395733,0.963151207115629
0.44,0.9544730977395733,0.963151207115629
0.441,0.9544730977395733,0.963151207115629
0.442,0.9544730977395733,0.963151207115629
0.443,0.9544730977395733,0.963151207115629
0.444,0.9544730977395733,0.963151207115629
0.445,0.9544730977395733,0.9625396825396826
0.446,0.9544730977395733,0.9625396825396826
0.447,0.9544730977395733,0.9625396825396826
0.448,0.9543066390702117,0.9625396825396826
0.449,0.9543066390702117,0.9625396825396826
0.45,0.9544730977395733,0.9625396825396826
0.451,0.9544730977395733,0.9625396825396826
0.452,0.9543211841477002,0.9631979695431472
0.453,0.9543211841477002,0.9631979695431472
0.454,0.9543211841477002,0.9631979695431472
0.455,0.9543211841477002,0.9631979695431472
0.456,0.9543211841477002,0.9631979695431472
0.457,0.9543211841477002,0.9631979695431472
0.458,0.9543211841477002,0.9631979695431472
0.459,0.9543211841477002,0.9631979695431472
0.46,0.9543211841477002,0.9631979695431472
0.461,0.9543211841477002,0.9631979695431472
0.462,0.9543211841477002,0.9631979695431472
0.463,0.9543211841477002,0.9631979695431472
0.464,0.9543211841477002,0.9631979695431472
0.465,0.9543211841477002,0.9631979695431472
0.466,0.9543211841477002,0.9631979695431472
0.467,0.9543211841477002,0.9631979695431472
0.468,0.9543211841477002,0.9631979695431472
0.469,0.9543211841477002,0.9631979695431472
0.47,0.954169318905156,0.9631979695431472
0.471,0.954169318905156,0.9631979695431472
0.472,0.954169318905156,0.9631979695431472
0.473,0.9540028648734681,0.9631979695431472
0.474,0.9538363578478192,0.9631979695431472
0.475,0.9538363578478192,0.9631979695431472
0.476,0.9538363578478192,0.9631979695431472
0.477,0.9538363578478192,0.9631979695431472
0.478,0.9540028648734681,0.9631979695431472
0.479,0.9538510502864418,0.9631979695431472
0.48,0.9538510502864418,0.9631979695431472
0.481,0.9538510502864418,0.9631979695431472
0.482,0.953684545599236,0.9631979695431472
0.483,0.9540028648734681,0.9631979695431472
0.484,0.9538363578478192,0.9631979695431472
0.485,0.9538363578478192,0.9631979695431472
0.486,0.9538363578478192,0.9631979695431472
0.487,0.9538363578478192,0.9631979695431472
0.488,0.9535031847133758,0.9631979695431472
0.489,0.9535031847133758,0.9631979695431472
0.49,0.9533365185539099,0.9631979695431472
0.491,0.9533365185539099,0.9631979695431472
0.492,0.9533365185539099,0.9631979695431472
0.493,0.9533365185539099,0.9631979695431472
0.494,0.9531847133757961,0.9631979695431472
0.495,0.9531847133757961,0.9625396825396826
0.496,0.9531847133757961,0.9625396825396826
0.497,0.9531847133757961,0.9625396825396826
0.498,0.9531847133757961,0.9625396825396826
0.499,0.9531847133757961,0.9625396825396826
0.5,0.9531847133757961,0.9625396825396826
0.501,0.9531847133757961,0.9625396825396826
0.502,0.9531847133757961,0.9625396825396826
0.503,0.9531847133757961,0.9619289340101523
0.504,0.9531847133757961,0.9619289340101523
0.505,0.9531847133757961,0.9619289340101523
0.506,0.9531847133757961,0.9619289340101523
0.507,0.9531847133757961,0.9619289340101523
0.508,0.9531847133757961,0.9619289340101523
0.509,0.9531847133757961,0.9619289340101523
0.51,0.9531847133757961,0.9619289340101523
0.511,0.9530179964962574,0.9619289340101523
0.512,0.9528662420382166,0.9619289340101523
0.513,0.9528662420382166,0.9619289340101523
0.514,0.9528662420382166,0.9619289340101523
0.515,0.9526994744386049,0.9619289340101523
0.516,0.9526994744386049,0.9619289340101523
0.517,0.9526994744386049,0.9619289340101523
0.518,0.9526994744386049,0.9619289340101523
0.519,0.9526994744386049,0.9613189600507293
0.52,0.9526994744386049,0.9606598984771574
0.521,0.9526994744386049,0.9606598984771574
0.522,0.9525326537113731,0.9606598984771574
0.523,0.9525326537113731,0.9606598984771574
0.524,0.9525326537113731,0.9606598984771574
0.525,0.9525326537113731,0.9606598984771574
0.526,0.9526994744386049,0.9606598984771574
0.527,0.9526994744386049,0.9606598984771574
0.528,0.9526994744386049,0.9606598984771574
0.529,0.9526994744386049,0.9600507292327204
0.53,0.9526994744386049,0.9600507292327204
0.531,0.9525477707006369,0.9600507292327204
0.532,0.9525477707006369,0.9600507292327204
0.533,0.9525477707006369,0.9600507292327204
0.534,0.9525628780643107,0.9600507292327204
0.535,0.9525628780643107,0.9600507292327204
0.536,0.9524112685023078,0.9600507292327204
0.537,0.9524112685023078,0.9600507292327204
0.538,0.9524112685023078,0.9600507292327204
0.539,0.9522597071928708,0.9594423320659062
0.54,0.9522597071928708,0.9594423320659062
0.541,0.9522597071928708,0.9594423320659062
0.542,0.9522597071928708,0.9594423320659062
0.543,0.9524264120922832,0.9587824984147115
0.544,0.9522748965956093,0.9587824984147115
0.545,0.9521234292985525,0.9587824984147115
0.546,0.9519720101781171,0.9587824984147115
0.547,0.9519720101781171,0.9587824984147115
0.548,0.9519720101781171,0.9587824984147115
0.549,0.9519720101781171,0.9587824984147115
0.55,0.9519720101781171,0.9587824984147115
0.551,0.9519720101781171,0.9594423320659062
0.552,0.9518206392113213,0.9594423320659062
0.553,0.9518206392113213,0.9594423320659062
0.554,0.9518206392113213,0.9594423320659062
0.555,0.9518206392113213,0.9594423320659062
0.556,0.9518206392113213,0.9594423320659062
0.557,0.9516693163751987,0.9594423320659062
0.558,0.9518359561278016,0.9594423320659062
0.559,0.9518359561278016,0.9594423320659062
0.56,0.9516846789574063,0.9594423320659062
0.561,0.9516846789574063,0.9594423320659062
0.562,0.9516846789574063,0.9594423320659062
0.563,0.9516846789574063,0.9594423320659062
0.564,0.9516846789574063,0.9588347055098163
0.565,0.9516846789574063,0.9588347055098163
0.566,0.9516846789574063,0.9588347055098163
0.567,0.9516846789574063,0.9588347055098163
0.568,0.9516846789574063,0.9582278481012658
0.569,0.9515334498649293,0.9582278481012658
0.57,0.9515334498649293,0.9582278481012658
0.571,0.9515334498649293,0.9582278481012658
0.572,0.9515334498649293,0.958886780518659
0.573,0.9513822688274547,0.958886780518659
0.574,0.9513977128335451,0.958886780518659
0.575,0.9513977128335451,0.958886780518659
0.576,0.9513977128335451,0.9595448798988622
0.577,0.9513977128335451,0.9595448798988622
0.578,0.9513977128335451,0.9595448798988622
0.579,0.9513977128335451,0.9595448798988622
0.58,0.9513977128335451,0.9589387239418825
0.581,0.9513977128335451,0.9589387239418825
0.582,0.951715374841169,0.9589387239418825
0.583,0.951715374841169,0.9589387239418825
0.584,0.951715374841169,0.9589387239418825
0.585,0.951715374841169,0.9583333333333334
0.586,0.951715374841169,0.9583333333333334
0.587,0.9518818484992854,0.9583333333333334
0.588,0.9517307081613211,0.9583333333333334
0.589,0.9514285714285714,0.9577287066246056
0.59,0.9514285714285714,0.9577287066246056
0.591,0.9515949849230281,0.9577287066246056
0.592,0.9517460317460318,0.9577287066246056
0.593,0.9512775749880972,0.9577287066246056
0.594,0.9516103442805014,0.9577287066246056
0.595,0.9514593908629442,0.9577287066246056
0.596,0.9512930350626686,0.9577287066246056
0.597,0.9517307081613211,0.9570707070707071
0.598,0.9514131470308034,0.9576753000631711
0.599,0.9510955859002858,0.9570707070707071
0.6,0.9510068178214682,0.9577287066246056
0.601,0.9510068178214682,0.9570707070707071
0.602,0.950856055802156,0.9564668769716088
0.603,0.950705341575527,0.9564668769716088
0.604,0.9505389980976537,0.9577819785759294
0.605,0.9502219403931516,0.957124842370744
0.606,0.9499048826886494,0.9583858764186634
