K,train_F1,test_F1
56,0.9860554576053855,0.9845956354300385
57,0.9860554576053855,0.9845956354300385
58,0.9857303190636524,0.9845956354300385
59,0.9857303190636524,0.9845956354300385
60,0.9857303190636524,0.9845956354300385
61,0.9854143292194262,0.9845956354300385
62,0.9854096520763187,0.9839434810533076
63,0.9852516832318051,0.9839434810533076
64,0.9852516832318051,0.9839434810533076
65,0.9852516832318051,0.9845956354300385
66,0.9850889850889851,0.9845956354300385
67,0.9852516832318051,0.9845956354300385
68,0.9852469531751122,0.9845956354300385
69,0.9850889850889851,0.9845956354300385
70,0.9850794160115515,0.9845956354300385
71,0.9852516832318051,0.9845956354300385
72,0.9850889850889851,0.9845956354300385
73,0.9850937650264465,0.9845956354300385
74,0.9852469531751122,0.9845956354300385
75,0.9849310676498878,0.9845956354300385
76,0.984921398780879,0.9845956354300385
77,0.9805174065793676,0.9820742637644047
78,0.9803545759463345,0.9820742637644047
79,0.9794225554314883,0.9801916932907349
80,0.9792597319719208,0.9801916932907349
81,0.9784791965566715,0.9783163265306123
82,0.9786352040816326,0.9776643267389917
83,0.9781673306772909,0.9770408163265306
84,0.9781673306772909,0.9770408163265306
85,0.9780114722753346,0.9770408163265306
86,0.9781673306772909,0.9770408163265306
87,0.9780114722753346,0.9770408163265306
88,0.9778415431213136,0.9770408163265306
89,0.977537039987255,0.9770408163265306
90,0.9776927979604844,0.9770408163265306
91,0.977537039987255,0.9770408163265306
92,0.9775298804780876,0.9770408163265306
93,0.9775298804780876,0.9770408163265306
94,0.9775298804780876,0.9763880025526483
95,0.977537039987255,0.9763880025526483
96,0.9775298804780876,0.9763880025526483
97,0.9775298804780876,0.9763880025526483
98,0.9770408163265306,0.9763880025526483
99,0.9773669110615237,0.9763880025526483
100,0.9772038896859557,0.9763880025526483
101,0.9770481351609819,0.9763880025526483
102,0.9768776909583798,0.9763880025526483
103,0.9768776909583798,0.9763880025526483
104,0.9768776909583798,0.9763880025526483
105,0.9768850629682767,0.9763880025526483
106,0.9767219387755102,0.9763880025526483
107,0.9767219387755102,0.9763880025526483
108,0.9763955342902711,0.9763880025526483
